names	sampleType	injectionOrder	batch	M53T345	M58T69	M59T246	M59T62	M59T270	M62T56	M64T348	M64T379	M65T347	M65T379
HU_neg_046_b2	sample	91	ne2	0	368588.414190162	34411.523639727	10496.5846779147	37229.5799483272	4176651.55824724	6915.84926328126	42078.7038227838	0	0
QC1_007_b2	pool	92	ne2	152016.333256555	363316.941521563	14616.6482197519	10222.5918191464	0	5895050.6156705	31032.293994684	0	21958.7115351948	17841.7734691827
HU_neg_103_b2	sample	95	ne2	140801.32650685	1497666.55978009	20986.2195526415	18502.7960232567	36194.8027764547	2709776.72125633	12952.1740124813	0	0	0
HU_neg_015_b2	sample	96	ne2	38241.7294069804	602743.114587249	36554.4076728354	16983.4918105334	2770.12042014566	3640259.80201659	4228.38518722656	4923.64418287329	0	0
HU_neg_053_b2	sample	97	ne2	83004.3248898002	200791.068523608	19010.3009825067	11666.8542154643	0	5427969.9129751	0	0	0	9660.12888206858
HU_neg_121_b2	sample	99	ne2	0	152456.04931097	3588.58859271206	0	0	2102167.1199406	7902.63436529736	5026.25000839312	17970.6660585164	0
HU_neg_183_b2	sample	101	ne2	40720.1614014255	162008.789941087	8837.29028933274	18643.9387781606	0	5519411.64485102	0	19923.0287915125	0	12711.8371141284
HU_neg_199_b2	sample	102	ne2	57957.9125733204	195654.763142721	57849.520666784	4088.20716487154	3795.45359542152	5975790.26583585	0	4625.57508787572	52921.1801879622	6448.48348402996
HU_neg_042_b2	sample	103	ne2	15954.8784347693	200612.83926394	15281.8589415551	17460.6956022842	12923.6993650666	4973610.83259585	7768.65987204193	0	20285.3838321717	7216.45400679199
HU_neg_075_b2	sample	104	ne2	0	202252.591513804	42242.9939760066	9510.31905063707	13818.8371925968	7866735.28811771	25594.9369605041	4934.35002223997	39648.2753696965	17002.9576437415
QC1_008_b2	pool	105	ne2	0	400151.511471333	31919.9198825681	6013.12184194339	0	6116621.59538594	0	16874.1686871483	0	0
HU_neg_203_b2	sample	108	ne2	0	28536.5633959558	25941.3571865901	2517.53952371584	18327.4191438988	3573713.96338078	12690.1011719463	22600.9252123115	0	3521.7797273502
HU_neg_024_b2	sample	109	ne2	0	17724.6789850018	38285.2370269376	10658.8345721735	2681.40218810917	5319711.3406235	27650.8259377332	6863.39927655575	0	7473.87193907181
HU_neg_082_b2	sample	110	ne2	53282.2416262225	1394576.36638232	65306.0288493455	12494.5144162879	0	5509660.93377366	5396.03803610135	5263.05800136228	0	0
HU_neg_169_b2	sample	111	ne2	35655.4594767173	347323.754133126	0	0	0	3309150.11652338	3754.02213640324	4091.70035009045	0	8505.68747645502
HU_neg_129_b2	sample	112	ne2	0	112686.447681247	30447.8226276348	13443.6620378515	35823.8576048105	3455353.86559963	31062.8237061648	5600.46412995583	12105.7976443698	10676.3525005773
HU_neg_057_b2	sample	113	ne2	151724.537983198	273202.604078422	51752.8286658928	3197.91019474537	5140.66814791567	3241007.97367279	23445.7937705691	16463.8209259278	0	5305.7851485662
HU_neg_035_b2	sample	114	ne2	57834.4743400806	227816.314833889	33130.2246524291	12416.82701548	70003.2501071371	13675989.0933397	12006.1399071692	8189.31334016426	13116.611445248	5552.44282073779
HU_neg_194_b2	sample	115	ne2	146397.914849139	246090.352071376	36101.754309363	23878.7424354604	29615.8958434729	6699966.50023128	0	17232.0689125502	0	0
HU_neg_145_b2	sample	116	ne2	52238.8958383921	22627.6983014332	0	30734.4033449453	111489.499055621	4979184.5503568	4662.2621623625	52619.414898691	0	14435.7438130564
HU_neg_104_b2	sample	117	ne2	0	112316.461509841	2617.00707236334	3020.12626264775	6626.54649009259	2128150.88349774	7665.66778583472	24545.6343837925	0	8536.20088102446
QC1_009_b2	pool	118	ne2	0	451000.786033997	32548.202469301	13899.3374775539	13688.6327645543	5958927.05907295	21929.5522872744	12358.3151778539	0	0
HU_neg_177_b2	sample	121	ne2	145368.252734858	102300.404191409	43408.9964191216	9466.68484498427	3043.94275860952	4507126.01511039	30596.1601063133	12852.7398461381	29111.9843879581	0
HU_neg_025_b2	sample	123	ne2	159598.919187764	168728.596184085	16784.8410440502	5625.26203978936	36154.3307456033	8504790.27360678	9459.76009363011	5306.94180963769	0	7721.53659611395
HU_neg_080_b2	sample	124	ne2	143530.13476003	124615.435092482	143596.814099394	10058.3676538915	3355.05567649306	4777939.66536038	0	6412.13710656293	0	8354.49158261139
HU_neg_117_b2	sample	125	ne2	60793.0897877049	75363.3250042826	101343.09358005	32221.9340663091	39613.2136005448	3119327.30289553	0	6459.97940041128	18774.7460616189	8292.42381975183
HU_neg_136_b2	sample	126	ne2	0	12625.4607972028	0	9123.78479481339	0	2159758.96408848	15268.7957647657	6377.63173137508	0	4668.32413096465
HU_neg_197_b2	sample	127	ne2	25635.5732408133	200853.508576854	122774.220223768	8554.28345655055	61695.7266716568	3910793.6058202	17800.3809827898	15278.2092214688	16057.8759211401	0
HU_neg_036_b2	sample	128	ne2	0	1780603.51587091	48513.4997472712	60778.1725865781	0	4599797.2222596	6516.07113392464	13644.2927034882	0	0
HU_neg_054_b2	sample	129	ne2	126871.672949796	149332.199059522	51826.7880173299	7591.22868164988	56583.6094352797	10464578.6475196	23885.9647447575	24833.1495196631	0	8871.71663682864
HU_neg_085_b2	sample	130	ne2	93070.0624662882	169686.415380358	125584.46377227	8362.63631797827	47720.1567812388	4530348.62131862	40169.6853738626	9836.75922960136	0	17070.0052819867
QC1_010_b2	pool	131	ne2	0	423607.260828555	25936.6154518318	8046.35281614121	3479.79080283346	5620735.2624169	19194.4449708521	0	7859.53123526753	13664.9374535562
HU_neg_160_b2	sample	134	ne2	52891.1218192687	317645.486666445	8211.32571538391	24605.0265500288	0	3627639.8055793	22150.2163731973	21960.5625241016	0	16100.2332819966
HU_neg_092_b2	sample	136	ne2	72408.9537744018	1460924.19676066	49928.4507491627	16763.2610498386	3990.17984237917	2805850.59575042	13454.8128885898	7752.6279548032	2306.33224635393	10942.8220740789
HU_neg_023_b2	sample	137	ne2	152604.332831428	201672.631748578	14913.8106037919	0	1755.94815016581	3052497.75920036	5630.2519036096	0	0	0
HU_neg_124_b2	sample	138	ne2	587864.895817316	2279481.97503921	55618.1262392793	45260.1417438861	57744.5588804476	4538313.54264357	4038.05660936366	42394.5289452647	0	37144.442508253
HU_neg_147_b2	sample	139	ne2	410998.858671201	397469.497502822	25100.9972538257	50293.9859189137	3098.70833505369	3773052.03940999	33109.031770493	0	0	9081.1220238305
HU_neg_205_b2	sample	140	ne2	0	258673.421594387	63429.8329903911	35573.9595964222	58320.6029517851	3768136.85500143	23286.4890689731	16885.164729337	3000.49940768142	16819.8701047487
HU_neg_084_b2	sample	141	ne2	43270.7055185618	242841.35237843	23919.6694291931	61463.3139336184	0	1649574.79278349	0	9419.17763024988	2763.60425899446	11907.2110344546
HU_neg_120_b2	sample	142	ne2	407021.031572177	134561.255169041	9340.29265177823	14808.1767672651	0	3529988.2629453	26510.6812034667	0	0	0
HU_neg_198_b2	sample	143	ne2	444111.471880968	2017033.56336578	20361.5550262026	20903.6663706153	21250.9636204492	8488543.40652706	66087.3955004915	15775.1973748943	0	0
QC1_011_b2	pool	144	ne2	187425.394100892	469588.273011053	18710.2646154161	14761.3548219776	16685.3057969668	6350090.32962661	8713.66043440489	22213.6493909447	3872.20348463165	12848.1184120016
HU_neg_045_b2	sample	148	ne2	0	988435.757475126	0	11745.1367553337	5389.27375880758	4681162.74519829	62696.920237698	0	2515.66755783652	32186.631711067
HU_neg_029_b2	sample	149	ne2	5071704.61214239	1260602.91215149	79824.3594572156	54703.6107854852	5385.21616225194	14383354.0590852	53307.8837226276	37351.8646384021	3710.72689500818	42112.8736432409
HU_neg_069_b2	sample	150	ne2	163991.025876611	5203884.95109952	41764.6862312955	23527.6914295009	50719.4780336792	8579540.46155677	68908.6249137131	275946.902583094	4646.60009105324	19067.8374396085
HU_neg_155_b2	sample	151	ne2	5363609.55468826	22932097.9437264	8063.14414678053	26069.2792049545	0	7071584.63633001	0	220205.4204303	0	123052.057113716
HU_neg_106_b2	sample	154	ne2	NA	1520831.1518585	23691.063008973	73493.5514855902	0	12723314.3521273	49360.5458922014	0	0	69742.8385855293
HU_neg_146_b2	sample	155	ne2	NA	6088802.82900919	62498.5132553181	23812.4585556634	78192.8428380911	9107633.71464821	65709.086176117	240321.418146108	6797.64248978523	0
HU_neg_128_b2	sample	156	ne2	NA	5460519.61610762	19461.012748901	50958.3471344108	0	15437723.3325578	108516.297876654	404666.199982779	0	194579.902698815
QC1_012_b2	pool	157	ne2	NA	316208.032086306	39604.0051243116	8030.36632130052	5714.42230295629	5767931.8110389	23064.3082325567	35549.9141799903	4904.85992721011	0
